%@2-E(SYM=1 ADR=2 CM1=3 CM2=4)
i*SMC,X0008.0,MCC state (1:off),
i*SGOPN,X0008.1,input guard state (1: closed),
iHTR,X0008.2,hold to run button,
iSET01,X0008.3,setup switch pos 01,
iK_ESP,X0008.4,button emergency stop,
oMCC_ON,Y0008.0,output MCC on,
*MCF,F0000.1,MCC off signal(group),
*DCALM,F0000.7,MCC off signal(system),
RSV1_P01,F0002.0,P01:monit. result 1st axis,
RSV2_P01,F0002.1,P01:monit. result 2nd axis,
*MCFV1_P01,F0004.0,P01:MCC off signal 1st axis,
*MCFV2_P01,F0004.1,P01:MCC off signal 2nd axis,
*BRK1_P01,F0006.0,P01:Safe Brake sig. 1st axis,
*BRK2_P01,F0006.1,P01:Safe Brake sig. 2nd axis,
SPS01,F0007.0,Safety Position Switch 01,
SPS02,F0007.1,Safety Position Switch 02,
SPS03,F0007.2,Safety Position Switch 03,
SPS04,F0007.3,Safety Position Switch 04,
SPS05,F0007.4,Safety Position Switch 05,
SPS06,F0007.5,Safety Position Switch 06,
SPS07,F0007.6,Safety Position Switch 07,
SPS08,F0007.7,Safety Position Switch 08,
SPS09,F0008.0,Safety Position Switch 09,
SPS10,F0008.1,Safety Position Switch 10,
SPS11,F0008.2,Safety Position Switch 11,
SPS12,F0008.3,Safety Position Switch 12,
SPS13,F0008.4,Safety Position Switch 13,
SPS14,F0008.5,Safety Position Switch 14,
SPS15,F0008.6,Safety Position Switch 15,
SPS16,F0008.7,Safety Position Switch 16,
SPS17,F0009.0,Safety Position Switch 17,
SPS18,F0009.1,Safety Position Switch 18,
SPS19,F0009.2,Safety Position Switch 19,
SPS20,F0009.3,Safety Position Switch 20,
SPS21,F0009.4,Safety Position Switch 21,
SPS22,F0009.5,Safety Position Switch 22,
SPS23,F0009.6,Safety Position Switch 23,
SPS24,F0009.7,Safety Position Switch 24,
SPS25,F0010.0,Safety Position Switch 25,
SPS26,F0010.1,Safety Position Switch 26,
SPS27,F0010.2,Safety Position Switch 27,
SPS28,F0010.3,Safety Position Switch 28,
SPS29,F0010.4,Safety Position Switch 29,
SPS30,F0010.5,Safety Position Switch 30,
SPS31,F0010.6,Safety Position Switch 31,
SPS32,F0010.7,Safety Position Switch 32,
RZV1_P01,F0011.0,P01:zero mon. result 1st axis,
RZV2_P01,F0011.1,P01:zero mon. result 2nd axis,
TPMF00,F0017.0,interface from PMC bit00,
TPMF01,F0017.1,interface from PMC bit01,
TPMF02,F0017.2,interface from PMC bit02,
TPMF03,F0017.3,interface from PMC bit03,
TPMF04,F0017.4,interface from PMC bit04,
TPMF05,F0017.5,interface from PMC bit05,
TPMF06,F0017.6,interface from PMC bit06,
TPMF07,F0017.7,interface from PMC bit07,
POSE1_P01,F0018.0,P01:pos. inf. effect 1st axis,
POSE2_P01,F0018.1,P01:pos. inf. effect 2nd axis,
*OPIHB,F0019.0,guard open inhibit(group),
RSV1_P02,F0022.0,P02:monit. result 1st axis,
RSV2_P02,F0022.1,P02:monit. result 2nd axis,
RSV3_P02,F0022.2,P02:monit. result 3rd axis,
RSV4_P02,F0022.3,P02:monit. result 4th axis,
RSV5_P02,F0022.4,P02:monit. result 5th axis,
RSV6_P02,F0022.5,P02:monit. result 6th axis,
*MCFV1_P02,F0024.0,P02:MCC off signal 1st axis,
*MCFV2_P02,F0024.1,P02:MCC off signal 2nd axis,
*MCFV3_P02,F0024.2,P02:MCC off signal 3rd axis,
*MCFV4_P02,F0024.3,P02:MCC off signal 4th axis,
*MCFV5_P02,F0024.4,P02:MCC off signal 5th axis,
*MCFV6_P02,F0024.5,P02:MCC off signal 6th axis,
*BRK1_P02,F0026.0,P02:Safe Brake sig. 1st axis,
*BRK2_P02,F0026.1,P02:Safe Brake sig. 2nd axis,
*BRK3_P02,F0026.2,P02:Safe Brake sig. 3rd axis,
*BRK4_P02,F0026.3,P02:Safe Brake sig. 4th axis,
*BRK5_P02,F0026.4,P02:Safe Brake sig. 5th axis,
*BRK6_P02,F0026.5,P02:Safe Brake sig. 6th axis,
RZV1_P02,F0031.0,P02:zero mon. result 1st axis,
RZV2_P02,F0031.1,P02:zero mon. result 2nd axis,
RZV3_P02,F0031.2,P02:zero mon. result 3rd axis,
RZV4_P02,F0031.3,P02:zero mon. result 4th axis,
RZV5_P02,F0031.4,P02:zero mon. result 5th axis,
RZV6_P02,F0031.5,P02:zero mon. result 6th axis,
TPMF08,F0037.0,interface from PMC bit08,
TPMF09,F0037.1,interface from PMC bit09,
TPMF10,F0037.2,interface from PMC bit10,
TPMF11,F0037.3,interface from PMC bit11,
TPMF12,F0037.4,interface from PMC bit12,
TPMF13,F0037.5,interface from PMC bit13,
TPMF14,F0037.6,interface from PMC bit14,
TPMF15,F0037.7,interface from PMC bit15,
POSE1_P02,F0038.0,P02:pos. inf. effect 1st axis,
POSE2_P02,F0038.1,P02:pos. inf. effect 2nd axis,
POSE3_P02,F0038.2,P02:pos. inf. effect 3rd axis,
POSE4_P02,F0038.3,P02:pos. inf. effect 4th axis,
POSE5_P02,F0038.4,P02:pos. inf. effect 5th axis,
POSE6_P02,F0038.5,P02:pos. inf. effect 6th axis,
*SMC,G0000.6,MCC contact state(group),
*VLDV1_P01,G0002.0,P01:safety check req. 1st ax.,
*VLDV2_P01,G0002.1,P01:safety check req. 2nd ax.,
SVA1_P01,G0004.0,P01:saf. sel. sig. A 1st axis,
SVA2_P01,G0004.1,P01:saf. sel. sig. A 2nd axis,
SVB1_P01,G0005.0,P01:saf. sel. sig. B 1st axis,
SVB2_P01,G0005.1,P01:saf. sel. sig. B 2nd axis,
SVZR1_P01,G0007.0,P01:zero mon. req. 1st axis,
SVZR2_P01,G0007.1,P01:zero mon. req. 2nd axis,
TDCG00,G0017.0,interface to PMC bit00,
TDCG01,G0017.1,interface to PMC bit01,
TDCG02,G0017.2,interface to PMC bit02,
TDCG03,G0017.3,interface to PMC bit03,
TDCG04,G0017.4,interface to PMC bit04,
TDCG05,G0017.5,interface to PMC bit05,
TDCG06,G0017.6,interface to PMC bit06,
TDCG07,G0017.7,interface to PMC bit07,
